"dataset","model","F1","k","u","c","b"
"A4Benchmark\A4Benchmark-TS56.csv",2,0.357142857142857,12,0,2,42
"A4Benchmark\A4Benchmark-TS57.csv",2,0.352941176470588,15,0,2,44
"A4Benchmark\A4Benchmark-TS58.csv",2,0.363636363636364,18,0,2,45
"A4Benchmark\A4Benchmark-TS59.csv",2,0.285714285714286,17,0,2,11
"A4Benchmark\A4Benchmark-TS6.csv",2,0.714285714285714,15,0,2,39
"A4Benchmark\A4Benchmark-TS60.csv",1,0.666666666666667,12,1,2,41
"A4Benchmark\A4Benchmark-TS61.csv",2,0.5,20,1,3,0
"A4Benchmark\A4Benchmark-TS62.csv",1,0.368421052631579,20,1,2,47
"A4Benchmark\A4Benchmark-TS63.csv",1,0.857142857142857,7,0,2,39
"A4Benchmark\A4Benchmark-TS64.csv",2,0.75,14,0,2,0
"A4Benchmark\A4Benchmark-TS65.csv",2,0.606060606060606,17,0,2,39
"A4Benchmark\A4Benchmark-TS66.csv",1,1,12,1,2,14
"A4Benchmark\A4Benchmark-TS67.csv",1,0.564102564102564,16,1,2,42
"A4Benchmark\A4Benchmark-TS68.csv",1,1,19,0,4,39
"A4Benchmark\A4Benchmark-TS69.csv",1,0.16,15,1,2,47
"A4Benchmark\A4Benchmark-TS7.csv",1,0.64,20,1,3,3
"A4Benchmark\A4Benchmark-TS70.csv",1,0.25,19,1,2,48
"A4Benchmark\A4Benchmark-TS71.csv",2,0.4,15,0,2,36
"A4Benchmark\A4Benchmark-TS72.csv",2,0.571428571428572,19,0,3,0
"A4Benchmark\A4Benchmark-TS73.csv",1,0.571428571428572,17,1,3,36
"A4Benchmark\A4Benchmark-TS74.csv",1,0.571428571428572,16,1,2,35
"A4Benchmark\A4Benchmark-TS75.csv",1,0.434782608695652,20,0,4,2
"A4Benchmark\A4Benchmark-TS76.csv",2,0.620689655172414,18,0,2,26
"A4Benchmark\A4Benchmark-TS77.csv",1,0.476190476190476,20,1,3,0
"A4Benchmark\A4Benchmark-TS78.csv",2,0.5,20,0,2,23
"A4Benchmark\A4Benchmark-TS79.csv",2,0.4,19,1,3,0
"A4Benchmark\A4Benchmark-TS8.csv",1,0.666666666666667,16,1,2,26
"A4Benchmark\A4Benchmark-TS80.csv",1,0.571428571428572,14,1,2,40
"A4Benchmark\A4Benchmark-TS81.csv",1,0.352941176470588,20,1,3,0
"A4Benchmark\A4Benchmark-TS82.csv",1,0.615384615384615,10,1,2,3
"A4Benchmark\A4Benchmark-TS83.csv",1,0.4,20,1,2,4
"A4Benchmark\A4Benchmark-TS84.csv",1,0.666666666666667,14,1,2,3
"A4Benchmark\A4Benchmark-TS85.csv",1,0.349206349206349,15,1,2,50
"A4Benchmark\A4Benchmark-TS86.csv",2,0.432432432432432,15,0,2,40
"A4Benchmark\A4Benchmark-TS87.csv",2,1,15,0,2,0
"A4Benchmark\A4Benchmark-TS88.csv",2,0.545454545454546,13,1,2,37
"A4Benchmark\A4Benchmark-TS89.csv",1,0.5,17,1,3,18
"A4Benchmark\A4Benchmark-TS9.csv",2,0.222222222222222,15,0,2,44
"A4Benchmark\A4Benchmark-TS90.csv",1,0.5,20,1,2,48
"A4Benchmark\A4Benchmark-TS91.csv",1,0.636363636363636,17,1,2,47
"A4Benchmark\A4Benchmark-TS92.csv",1,0.564102564102564,18,1,2,42
"A4Benchmark\A4Benchmark-TS93.csv",2,0.333333333333333,20,0,2,49
"A4Benchmark\A4Benchmark-TS94.csv",1,0.380952380952381,20,1,2,41
"A4Benchmark\A4Benchmark-TS95.csv",2,0.545454545454545,19,0,2,42
"A4Benchmark\A4Benchmark-TS96.csv",1,1,20,1,3,0
"A4Benchmark\A4Benchmark-TS97.csv",1,0.571428571428571,20,1,2,45
"A4Benchmark\A4Benchmark-TS98.csv",1,0.5625,15,1,2,50
"A4Benchmark\A4Benchmark-TS99.csv",2,0.571428571428572,15,0,2,38
